id,requirement
1.1.1,Редактор должен отображать JSON файлы с подсветкой синтаксиса в соответствии со спецификацией JSON
1.1.2,Редактор должен обеспечивать редактирование JSON файлов с сохранением синтаксической корректности
1.1.3,Редактор должен отображать ошибки синтаксиса JSON в реальном времени
1.1.4,Редактор должен обеспечивать автодополнение ключей и значений в JSON файлах
1.2.1,Редактор должен отображать YAML файлы с подсветкой синтаксиса в соответствии со спецификацией YAML
1.2.2,Редактор должен обеспечивать редактирование YAML файлов с сохранением синтаксической корректности
1.2.3,Редактор должен отображать ошибки синтаксиса YAML в реальном времени
1.2.4,Редактор должен обеспечивать автодополнение ключей и значений в YAML файлах
1.3.1,Редактор должен отображать XML файлы с подсветкой синтаксиса в соответствии со спецификацией XML
1.3.2,Редактор должен обеспечивать редактирование XML файлов с сохранением синтаксической корректности
1.3.3,Редактор должен отображать ошибки синтаксиса XML в реальном времени
1.4.1,Редактор должен обеспечивать конвертацию JSON в YAML с сохранением структуры данных
1.4.2,Редактор должен обеспечивать конвертацию YAML в JSON с сохранением структуры данных
1.4.3,Редактор должен обеспечивать конвертацию JSON в XML с сохранением структуры данных
1.4.4,Редактор должен обеспечивать конвертацию XML в JSON с сохранением структуры данных
1.4.5,Редактор должен обеспечивать конвертацию YAML в XML с сохранением структуры данных
1.5.1,Редактор должен обрабатывать drag-and-drop файлов JSON в область редактирования
1.5.2,Редактор должен обрабатывать drag-and-drop файлов YAML в область редактирования
1.5.3,Редактор должен обрабатывать drag-and-drop файлов XML в область редактирования
1.5.4,Редактор должен отображать визуальный индикатор при перетаскивании файлов
1.5.5,Редактор должен проверять тип файла перед загрузкой
1.6.1,Редактор должен обрабатывать Ctrl+S (Cmd+S) для сохранения файла
1.6.2,Редактор должен обрабатывать Ctrl+Z (Cmd+Z) для отмены действия
1.6.3,Редактор должен обрабатывать Ctrl+Y (Cmd+Y) для возврата действия
1.6.4,Редактор должен обрабатывать Ctrl+F (Cmd+F) для поиска в тексте
1.7.1,Редактор должен сохранять историю изменений для каждого файла
1.7.2,Редактор должен позволять отменять изменения в обратном порядке их внесения
1.7.3,Редактор должен позволять возвращать отмененные изменения
1.7.4,Редактор должен отображать доступные действия в истории изменений
